,Unnamed: 0,%,entities,relationships,runtime
0,0,0.08888888888888888,8570,138,1180.5131466388702
1,1,0.15150816532874373,8047,145,1146.3072197437284
2,2,0.4206696801579531,5683,100,790.5333003997803
3,3,0.017857142857142856,8371,193,1178.3605306148531
4,4,0.0,8195,115,1019.2361161708832
5,5,0.12916666666666665,3137,108,874.4886312484741
6,6,0.0,8493,172,963.4655385017396
7,7,0.0,3013,110,874.0925810337068
8,8,0.6416666666666667,2574,94,958.187488079071
9,9,0.08359138223190511,8050,94,970.1796896457672
10,10,0.0008331668331668331,9063,115,862.4379739761353
11,11,0.00038167938931297715,8281,100,755.6721405982971
