round, unique_hits, no_unique_entities, total_hits, total, accuracy, speed_summary, speed_feedback
1,14,168,920,4583,0.08333333333333333,0.09279966354370117,0.001093149185180664
2,19,168,1080,4583,0.1130952380952381,0.09925484657287598,0.0011358261108398438
3,16,168,999,4583,0.09523809523809523,0.09983134269714355,0.0011248588562011719
4,17,168,993,4583,0.10119047619047619,0.09864068031311035,0.0011115074157714844
5,18,168,1061,4583,0.10714285714285714,0.10018515586853027,0.0011754035949707031
6,17,168,1003,4583,0.10119047619047619,0.1010293960571289,0.0011718273162841797
7,18,168,997,4583,0.10714285714285714,0.09949040412902832,0.0011475086212158203
8,14,168,920,4583,0.08333333333333333,0.09978604316711426,0.0011508464813232422
9,15,168,965,4583,0.08928571428571429,0.10607647895812988,0.0011730194091796875
10,15,168,969,4583,0.08928571428571429,0.10942316055297852,0.001176595687866211
11,16,168,974,4583,0.09523809523809523,0.10749578475952148,0.001580953598022461
12,16,168,988,4583,0.09523809523809523,0.10103797912597656,0.0011761188507080078
13,17,168,1006,4583,0.10119047619047619,0.10056805610656738,0.0011751651763916016
14,15,168,969,4583,0.08928571428571429,0.10436844825744629,0.0011570453643798828
15,14,168,920,4583,0.08333333333333333,0.09906888008117676,0.0011587142944335938
16,16,168,977,4583,0.09523809523809523,0.1009519100189209,0.0011911392211914062
17,18,168,1020,4583,0.10714285714285714,0.10323929786682129,0.0011591911315917969
18,16,168,1000,4583,0.09523809523809523,0.09968018531799316,0.0011494159698486328
19,14,168,920,4583,0.08333333333333333,0.09841609001159668,0.0011601448059082031
20,16,168,971,4583,0.09523809523809523,0.09985947608947754,0.0011677742004394531
21,18,168,995,4583,0.10714285714285714,0.09853124618530273,0.0011518001556396484
22,14,168,920,4583,0.08333333333333333,0.0999603271484375,0.0011532306671142578
23,16,168,966,4583,0.09523809523809523,0.09858393669128418,0.0011515617370605469
24,16,168,979,4583,0.09523809523809523,0.09940958023071289,0.0011637210845947266
25,17,168,987,4583,0.10119047619047619,0.0989692211151123,0.0011725425720214844
26,19,168,1059,4583,0.1130952380952381,0.09986138343811035,0.0011677742004394531
27,15,168,929,4583,0.08928571428571429,0.10077428817749023,0.0011565685272216797
28,16,168,973,4583,0.09523809523809523,0.10124754905700684,0.0011458396911621094
29,18,168,997,4583,0.10714285714285714,0.10191464424133301,0.0011548995971679688
30,16,168,979,4583,0.09523809523809523,0.09946489334106445,0.0011446475982666016
31,16,168,993,4583,0.09523809523809523,0.09860658645629883,0.001157999038696289
